contig	length	depth_mapped	gc	maxbin	metabat
k99_97667	1990	223	35	maxbin_2	metabat_unbinned
k99_6496	1990	221	45	maxbin_2	metabat_unbinned
k99_36435	1990	219	43	maxbin_2	metabat_unbinned
k99_59845	1989	1592	47	maxbin_1	metabat_unbinned
k99_30357	1989	52	45	maxbin_1	metabat_unbinned
k99_97054	1988	76	46	maxbin_1	metabat_unbinned
k99_74793	1988	195	40	maxbin_2	metabat_unbinned
k99_72061	1986	82	46	maxbin_1	metabat_unbinned
k99_28881	1986	76	43	maxbin_2	metabat_unbinned
k99_17541	1984	89	38	maxbin_2	metabat_unbinned
k99_68676	1982	164	36	maxbin_2	metabat_unbinned
k99_58149	1982	99	45	maxbin_1	metabat_unbinned
k99_107652	1982	192	35	maxbin_2	metabat_unbinned
k99_97032	1981	118	39	maxbin_2	metabat_unbinned
k99_46995	1981	171	35	maxbin_2	metabat_unbinned
k99_19858	1981	173	34	maxbin_2	metabat_unbinned
k99_3957	1980	1462	48	maxbin_1	metabat_unbinned
k99_19730	1980	86	35	maxbin_2	metabat_unbinned
k99_1935	1977	2626	48	maxbin_1	metabat_unbinned
k99_53699	1976	48	37	maxbin_2	metabat_unbinned
k99_11572	1976	3697	46	maxbin_1	metabat_unbinned
k99_77092	1975	77	38	maxbin_2	metabat_unbinned
k99_12214	1974	61	42	maxbin_2	metabat_unbinned
k99_15302	1973	1738	51	maxbin_1	metabat_unbinned
k99_4567	1972	110	48	maxbin_1	metabat_unbinned
k99_27621	1972	336	43	maxbin_2	metabat_unbinned
k99_83174	1970	90	35	maxbin_2	metabat_unbinned
k99_59582	1970	181	35	maxbin_2	metabat_unbinned
k99_54185	1970	49	40	maxbin_2	metabat_unbinned
k99_82754	1969	84	36	maxbin_2	metabat_unbinned
k99_81353	1969	85	41	maxbin_2	metabat_unbinned
k99_5641	1968	104	34	maxbin_2	metabat_unbinned
k99_13180	1968	197	38	maxbin_2	metabat_unbinned
k99_8361	1967	589	34	maxbin_2	metabat_unbinned
k99_121424	1967	48	39	maxbin_2	metabat_unbinned
k99_121254	1967	81	38	maxbin_2	metabat_unbinned
k99_64514	1966	105	36	maxbin_2	metabat_unbinned
k99_48782	1965	68	41	maxbin_2	metabat_unbinned
k99_23182	1965	72	34	maxbin_2	metabat_unbinned
k99_57015	1962	87	49	maxbin_1	metabat_unbinned
k99_122329	1962	112	36	maxbin_2	metabat_unbinned
k99_108088	1961	94	36	maxbin_2	metabat_unbinned
k99_116093	1959	75	34	maxbin_2	metabat_unbinned
k99_16048	1957	59	43	maxbin_2	metabat_unbinned
k99_26521	1956	1844	46	maxbin_1	metabat_unbinned
k99_105595	1956	110	40	maxbin_2	metabat_unbinned
k99_8884	1955	73	44	maxbin_2	metabat_unbinned
k99_71749	1955	172	39	maxbin_2	metabat_unbinned
k99_38527	1954	81	40	maxbin_2	metabat_unbinned
k99_70548	1953	43	40	maxbin_2	metabat_unbinned
k99_52384	1952	112	38	maxbin_2	metabat_unbinned
k99_27061	1952	1098	36	maxbin_2	metabat_unbinned
k99_86992	1951	63	34	maxbin_2	metabat_unbinned
k99_122403	1951	148	42	maxbin_2	metabat_unbinned
k99_94303	1950	848	39	maxbin_2	metabat_unbinned
k99_82305	1949	1338	53	maxbin_1	metabat_unbinned
k99_69137	1948	34	33	maxbin_2	metabat_unbinned
k99_64444	1948	2224	50	maxbin_1	metabat_unbinned
k99_64288	1948	220	41	maxbin_2	metabat_unbinned
k99_609	1948	241	48	maxbin_2	metabat_unbinned
k99_49711	1948	61	37	maxbin_2	metabat_unbinned
k99_48380	1948	130	39	maxbin_2	metabat_unbinned
k99_126929	1948	65	46	maxbin_1	metabat_unbinned
k99_108047	1947	386	39	maxbin_2	metabat_unbinned
k99_74294	1942	58	40	maxbin_2	metabat_unbinned
k99_46150	1942	109	45	maxbin_2	metabat_unbinned
k99_28802	1942	79	41	maxbin_2	metabat_unbinned
k99_647	1941	91	44	maxbin_2	metabat_unbinned
k99_51607	1941	51	36	maxbin_2	metabat_unbinned
k99_123686	1941	3038	49	maxbin_1	metabat_unbinned
k99_99135	1940	118	38	maxbin_2	metabat_unbinned
k99_88037	1940	38	40	maxbin_2	metabat_unbinned
k99_99877	1939	65	35	maxbin_2	metabat_unbinned
k99_108045	1939	49	39	maxbin_2	metabat_unbinned
k99_102512	1939	47	35	maxbin_2	metabat_unbinned
k99_28669	1938	71	37	maxbin_2	metabat_unbinned
k99_63672	1936	62	40	maxbin_2	metabat_unbinned
k99_38226	1936	52	34	maxbin_2	metabat_unbinned
k99_33910	1935	40	40	maxbin_2	metabat_unbinned
k99_46415	1934	751	35	maxbin_2	metabat_unbinned
k99_21367	1934	1650	40	maxbin_1	metabat_unbinned
k99_101895	1933	110	43	maxbin_2	metabat_unbinned
k99_121314	1931	72	37	maxbin_2	metabat_unbinned
k99_44029	1928	90	44	maxbin_2	metabat_unbinned
k99_54349	1927	166	40	maxbin_2	metabat_unbinned
k99_43175	1927	306	34	maxbin_2	metabat_unbinned
k99_85049	1923	58	37	maxbin_2	metabat_unbinned
k99_99067	1922	75	37	maxbin_2	metabat_unbinned
k99_10968	1922	171	39	maxbin_2	metabat_unbinned
k99_93673	1920	49	41	maxbin_2	metabat_unbinned
k99_47153	1920	52	37	maxbin_2	metabat_unbinned
k99_114237	1920	119	48	maxbin_2	metabat_unbinned
k99_125609	1918	41	36	maxbin_2	metabat_unbinned
k99_72838	1917	350	35	maxbin_2	metabat_unbinned
k99_42803	1917	70	45	maxbin_1	metabat_unbinned
k99_61061	1916	58	42	maxbin_2	metabat_unbinned
k99_115629	1916	71	45	maxbin_1	metabat_unbinned
k99_48849	1915	62	31	maxbin_2	metabat_unbinned
k99_108989	1915	88	35	maxbin_2	metabat_unbinned
k99_77271	1914	85	39	maxbin_2	metabat_unbinned
k99_7280	1913	473	36	maxbin_2	metabat_unbinned
k99_99917	1912	88	41	maxbin_2	metabat_unbinned
k99_66454	1911	58	34	maxbin_2	metabat_unbinned
k99_100223	1909	88	39	maxbin_2	metabat_unbinned
k99_43971	1908	62	38	maxbin_2	metabat_unbinned
k99_21906	1907	94	36	maxbin_2	metabat_unbinned
k99_37178	1906	37	36	maxbin_2	metabat_unbinned
k99_123826	1905	91	38	maxbin_2	metabat_unbinned
k99_11695	1905	165	39	maxbin_2	metabat_unbinned
k99_30420	1903	144	39	maxbin_2	metabat_unbinned
k99_88610	1901	46	42	maxbin_2	metabat_unbinned
k99_38494	1901	58	41	maxbin_2	metabat_unbinned
k99_9653	1900	214	44	maxbin_2	metabat_unbinned
k99_47927	1900	205	37	maxbin_2	metabat_unbinned
k99_3737	1900	185	38	maxbin_2	metabat_unbinned
k99_48066	1899	126	42	maxbin_2	metabat_unbinned
k99_21312	1899	76	38	maxbin_2	metabat_unbinned
k99_12514	1898	290	46	maxbin_2	metabat_unbinned
k99_63522	1897	184	41	maxbin_2	metabat_unbinned
k99_35579	1897	162	39	maxbin_2	metabat_unbinned
k99_72828	1895	48	38	maxbin_2	metabat_unbinned
k99_42852	1894	1417	36	maxbin_2	metabat_unbinned
k99_116294	1893	59	35	maxbin_2	metabat_unbinned
k99_112952	1893	82	41	maxbin_2	metabat_unbinned
k99_105602	1892	72	40	maxbin_2	metabat_unbinned
k99_65440	1891	242	41	maxbin_2	metabat_unbinned
k99_40382	1891	101	39	maxbin_2	metabat_unbinned
k99_2908	1891	44	43	maxbin_2	metabat_unbinned
k99_26155	1891	72	37	maxbin_2	metabat_unbinned
k99_1981	1891	269	37	maxbin_2	metabat_unbinned
k99_15643	1891	66	33	maxbin_2	metabat_unbinned
k99_90638	1889	120	36	maxbin_2	metabat_unbinned
k99_79527	1889	66	40	maxbin_2	metabat_unbinned
k99_51608	1889	209	33	maxbin_2	metabat_unbinned
k99_3527	1889	343	36	maxbin_2	metabat_unbinned
k99_99133	1888	55	38	maxbin_2	metabat_unbinned
k99_67602	1888	400	38	maxbin_2	metabat_unbinned
k99_50420	1888	182	44	maxbin_2	metabat_unbinned
k99_107846	1888	1562	49	maxbin_1	metabat_unbinned
k99_97674	1886	146	47	maxbin_2	metabat_unbinned
k99_6680	1886	69	47	maxbin_1	metabat_unbinned
k99_119450	1886	90	37	maxbin_2	metabat_unbinned
k99_100220	1886	197	37	maxbin_2	metabat_unbinned
k99_42702	1885	51	36	maxbin_2	metabat_unbinned
k99_12206	1885	44	40	maxbin_2	metabat_unbinned
k99_78968	1884	274	39	maxbin_2	metabat_unbinned
k99_45520	1884	133	46	maxbin_2	metabat_unbinned
k99_96654	1883	70	33	maxbin_2	metabat_unbinned
k99_22747	1883	86	32	maxbin_2	metabat_unbinned
k99_111529	1883	1778	45	maxbin_1	metabat_unbinned
k99_78982	1882	95	43	maxbin_2	metabat_unbinned
k99_126522	1882	74	39	maxbin_2	metabat_unbinned
k99_100500	1881	57	38	maxbin_2	metabat_unbinned
k99_52504	1880	68	43	maxbin_2	metabat_unbinned
k99_79742	1878	240	47	maxbin_2	metabat_unbinned
k99_64275	1878	47	38	maxbin_2	metabat_unbinned
k99_45996	1877	40	41	maxbin_2	metabat_unbinned
k99_12236	1877	68	36	maxbin_2	metabat_unbinned
k99_110870	1877	72	35	maxbin_2	metabat_unbinned
k99_118317	1876	45	40	maxbin_2	metabat_unbinned
k99_10540	1876	118	37	maxbin_2	metabat_unbinned
k99_4358	1875	330	34	maxbin_2	metabat_unbinned
k99_38959	1875	51	38	maxbin_2	metabat_unbinned
k99_2688	1875	109	35	maxbin_2	metabat_unbinned
k99_54178	1874	60	41	maxbin_2	metabat_unbinned
k99_21387	1873	46	39	maxbin_2	metabat_unbinned
k99_79063	1872	234	46	maxbin_2	metabat_unbinned
k99_106825	1872	130	39	maxbin_2	metabat_unbinned
k99_57393	1871	160	40	maxbin_2	metabat_unbinned
k99_24784	1871	123	33	maxbin_2	metabat_unbinned
k99_84456	1869	52	37	maxbin_2	metabat_unbinned
k99_70190	1869	184	35	maxbin_2	metabat_unbinned
k99_34318	1869	45	39	maxbin_2	metabat_unbinned
k99_23734	1868	95	41	maxbin_2	metabat_unbinned
k99_38142	1867	51	44	maxbin_2	metabat_unbinned
k99_33853	1867	256	37	maxbin_2	metabat_unbinned
k99_25067	1867	110	44	maxbin_2	metabat_unbinned
k99_10878	1866	243	37	maxbin_2	metabat_unbinned
k99_16055	1865	80	43	maxbin_2	metabat_unbinned
k99_35742	1864	92	41	maxbin_2	metabat_unbinned
k99_25895	1864	56	38	maxbin_2	metabat_unbinned
k99_123536	1864	63	36	maxbin_2	metabat_unbinned
k99_76565	1863	64	44	maxbin_2	metabat_unbinned
k99_3579	1863	96	39	maxbin_2	metabat_unbinned
k99_7695	1862	28	39	maxbin_2	metabat_unbinned
k99_83467	1861	116	32	maxbin_2	metabat_unbinned
k99_69467	1861	3866	48	maxbin_1	metabat_unbinned
k99_104148	1861	47	40	maxbin_2	metabat_unbinned
k99_68560	1860	64	46	maxbin_1	metabat_unbinned
k99_40406	1860	58	42	maxbin_2	metabat_unbinned
k99_81943	1859	57	38	maxbin_2	metabat_unbinned
k99_46711	1857	238	36	maxbin_2	metabat_unbinned
k99_3775	1857	52	42	maxbin_2	metabat_unbinned
k99_26600	1857	162	45	maxbin_2	metabat_unbinned
k99_118438	1857	53	41	maxbin_2	metabat_unbinned
k99_59110	1856	57	46	maxbin_1	metabat_unbinned
k99_23053	1856	393	35	maxbin_2	metabat_unbinned
k99_6583	1855	93	39	maxbin_2	metabat_unbinned
k99_101030	1855	119	37	maxbin_2	metabat_unbinned
k99_25410	1854	66	37	maxbin_2	metabat_unbinned
k99_1236	1854	1539	44	maxbin_1	metabat_unbinned
k99_76454	1853	50	37	maxbin_2	metabat_unbinned
k99_21589	1853	167	40	maxbin_2	metabat_unbinned
k99_63737	1852	89	38	maxbin_2	metabat_unbinned
k99_6289	1852	61	45	maxbin_2	metabat_unbinned
k99_34202	1852	644	39	maxbin_2	metabat_unbinned
k99_80410	1851	1639	41	maxbin_1	metabat_unbinned
k99_19007	1851	44	38	maxbin_2	metabat_unbinned
k99_121713	1851	76	40	maxbin_2	metabat_unbinned
k99_90874	1850	58	38	maxbin_2	metabat_unbinned
k99_13581	1850	613	38	maxbin_2	metabat_unbinned
k99_105610	1849	132	36	maxbin_2	metabat_unbinned
k99_105292	1848	72	37	maxbin_2	metabat_unbinned
k99_102989	1848	2338	38	maxbin_2	metabat_unbinned
k99_35961	1847	3036	43	maxbin_1	metabat_unbinned
k99_68409	1846	1465	51	maxbin_1	metabat_unbinned
k99_39387	1846	119	54	maxbin_2	metabat_unbinned
k99_11146	1846	607	36	maxbin_2	metabat_unbinned
k99_26552	1845	42	36	maxbin_2	metabat_unbinned
k99_104618	1845	108	42	maxbin_2	metabat_unbinned
k99_76421	1844	190	41	maxbin_2	metabat_unbinned
k99_32723	1844	3648	49	maxbin_1	metabat_unbinned
k99_104652	1844	98	34	maxbin_2	metabat_unbinned
k99_84619	1843	122	36	maxbin_2	metabat_unbinned
k99_50042	1843	102	40	maxbin_2	metabat_unbinned
k99_93032	1842	4577	35	maxbin_2	metabat_unbinned
k99_119735	1842	52	35	maxbin_2	metabat_unbinned
k99_16668	1841	113	36	maxbin_2	metabat_unbinned
k99_111565	1841	39	35	maxbin_2	metabat_unbinned
k99_107277	1841	124	38	maxbin_2	metabat_unbinned
k99_62694	1840	51	48	maxbin_1	metabat_unbinned
k99_50700	1840	62	39	maxbin_2	metabat_unbinned
k99_55038	1839	63	37	maxbin_2	metabat_unbinned
k99_52797	1839	43	37	maxbin_2	metabat_unbinned
k99_102743	1838	62	42	maxbin_2	metabat_unbinned
k99_77575	1836	77	43	maxbin_2	metabat_unbinned
k99_83316	1835	52	45	maxbin_1	metabat_unbinned
k99_66094	1834	1324	47	maxbin_1	metabat_unbinned
k99_6316	1832	110	36	maxbin_2	metabat_unbinned
k99_21899	1832	248	40	maxbin_2	metabat_unbinned
k99_111917	1832	124	37	maxbin_2	metabat_unbinned
k99_105217	1832	35	38	maxbin_2	metabat_unbinned
k99_76801	1831	83	38	maxbin_2	metabat_unbinned
k99_73861	1831	100	38	maxbin_2	metabat_unbinned
k99_63061	1831	86	36	maxbin_2	metabat_unbinned
k99_54205	1829	140	34	maxbin_2	metabat_unbinned
k99_36321	1829	247	39	maxbin_2	metabat_unbinned
k99_97319	1828	98	38	maxbin_2	metabat_unbinned
k99_59708	1828	2817	48	maxbin_1	metabat_unbinned
k99_43898	1828	173	37	maxbin_2	metabat_unbinned
k99_94052	1827	52	40	maxbin_2	metabat_unbinned
k99_124451	1827	112	41	maxbin_2	metabat_unbinned
k99_31691	1826	82	38	maxbin_2	metabat_unbinned
k99_109824	1826	125	46	maxbin_2	metabat_unbinned
k99_80388	1825	53	34	maxbin_2	metabat_unbinned
k99_75382	1825	92	39	maxbin_2	metabat_unbinned
k99_72027	1825	83	43	maxbin_2	metabat_unbinned
k99_4593	1825	295	36	maxbin_2	metabat_unbinned
k99_12840	1824	59	38	maxbin_2	metabat_unbinned
k99_3357	1823	106	38	maxbin_2	metabat_unbinned
k99_50047	1822	50	33	maxbin_2	metabat_unbinned
k99_24328	1822	390	39	maxbin_2	metabat_unbinned
k99_70002	1821	52	41	maxbin_2	metabat_unbinned
k99_760	1820	123	37	maxbin_2	metabat_unbinned
k99_36666	1820	72	35	maxbin_2	metabat_unbinned
k99_93071	1819	46	36	maxbin_2	metabat_unbinned
k99_52038	1819	138	44	maxbin_2	metabat_unbinned
k99_99250	1818	82	45	maxbin_1	metabat_unbinned
k99_64150	1818	54	38	maxbin_2	metabat_unbinned
k99_23206	1818	1499	44	maxbin_1	metabat_unbinned
k99_122294	1818	369	35	maxbin_2	metabat_unbinned
k99_118081	1818	414	38	maxbin_2	metabat_unbinned
k99_113622	1816	58	34	maxbin_2	metabat_unbinned
k99_52174	1813	141	43	maxbin_2	metabat_unbinned
k99_31843	1813	74	50	maxbin_1	metabat_unbinned
k99_4342	1812	151	42	maxbin_2	metabat_unbinned
k99_93294	1811	136	37	maxbin_2	metabat_unbinned
k99_21651	1811	53	55	maxbin_1	metabat_unbinned
k99_65364	1810	104	36	maxbin_2	metabat_unbinned
k99_36417	1810	63	39	maxbin_2	metabat_unbinned
k99_50063	1809	94	38	maxbin_2	metabat_unbinned
k99_32069	1809	1430	45	maxbin_1	metabat_unbinned
k99_24780	1809	92	39	maxbin_2	metabat_unbinned
k99_95687	1808	72	38	maxbin_2	metabat_unbinned
k99_14104	1808	109	33	maxbin_2	metabat_unbinned
k99_58329	1807	76	37	maxbin_2	metabat_unbinned
k99_77365	1805	384	34	maxbin_2	metabat_unbinned
k99_70842	1805	441	39	maxbin_2	metabat_unbinned
k99_26323	1805	87	44	maxbin_2	metabat_unbinned
k99_101315	1805	315	39	maxbin_2	metabat_unbinned
k99_5552	1803	107	46	maxbin_2	metabat_unbinned
k99_25105	1803	45	44	maxbin_1	metabat_unbinned
k99_24923	1803	52	36	maxbin_2	metabat_unbinned
k99_35430	1802	305	37	maxbin_2	metabat_unbinned
k99_102411	1801	71	38	maxbin_2	metabat_unbinned
k99_49208	1800	71	46	maxbin_1	metabat_unbinned
k99_25240	1800	99	45	maxbin_1	metabat_unbinned
k99_114379	1800	201	38	maxbin_2	metabat_unbinned
k99_66997	1799	62	38	maxbin_2	metabat_unbinned
k99_45358	1798	92	37	maxbin_2	metabat_unbinned
k99_104396	1798	143	42	maxbin_2	metabat_unbinned
k99_86756	1797	286	55	maxbin_2	metabat_unbinned
k99_75563	1797	1745	51	maxbin_1	metabat_unbinned
k99_121246	1797	205	35	maxbin_2	metabat_unbinned
k99_57219	1796	67	40	maxbin_2	metabat_unbinned
k99_44900	1796	129	39	maxbin_2	metabat_unbinned
k99_41515	1795	104	43	maxbin_2	metabat_unbinned
k99_6624	1794	95	36	maxbin_2	metabat_unbinned
k99_31777	1794	95	36	maxbin_2	metabat_unbinned
k99_53101	1793	187	40	maxbin_2	metabat_unbinned
k99_51161	1793	55	34	maxbin_2	metabat_unbinned
k99_13571	1793	147	39	maxbin_2	metabat_unbinned
k99_89518	1792	108	38	maxbin_2	metabat_unbinned
k99_116401	1792	54	37	maxbin_2	metabat_unbinned
k99_18075	1791	1556	44	maxbin_1	metabat_unbinned
k99_92139	1790	1941	37	maxbin_2	metabat_unbinned
k99_59384	1790	58	36	maxbin_2	metabat_unbinned
k99_121604	1790	92	40	maxbin_2	metabat_unbinned
k99_9900	1789	176	38	maxbin_2	metabat_unbinned
k99_120953	1789	77	37	maxbin_2	metabat_unbinned
k99_34427	1788	52	41	maxbin_2	metabat_unbinned
k99_86176	1787	70	39	maxbin_2	metabat_unbinned
k99_49720	1787	54	40	maxbin_2	metabat_unbinned
k99_46188	1787	39	37	maxbin_2	metabat_unbinned
k99_39733	1787	148	39	maxbin_2	metabat_unbinned
k99_90377	1786	361	35	maxbin_2	metabat_unbinned
k99_30892	1786	90	31	maxbin_2	metabat_unbinned
k99_25584	1786	136	36	maxbin_2	metabat_unbinned
k99_23813	1786	160	38	maxbin_2	metabat_unbinned
k99_14958	1786	56	38	maxbin_2	metabat_unbinned
k99_7858	1784	12157	50	maxbin_1	metabat_unbinned
k99_26062	1784	78	38	maxbin_2	metabat_unbinned
k99_97107	1783	52	37	maxbin_2	metabat_unbinned
k99_58629	1783	167	39	maxbin_2	metabat_unbinned
k99_31530	1783	166	36	maxbin_2	metabat_unbinned
k99_13160	1783	130	47	maxbin_2	metabat_unbinned
k99_110590	1782	184	35	maxbin_2	metabat_unbinned
k99_51351	1781	1598	50	maxbin_1	metabat_unbinned
k99_44180	1781	80	45	maxbin_1	metabat_unbinned
k99_37979	1781	50	36	maxbin_2	metabat_unbinned
k99_10746	1781	100	37	maxbin_2	metabat_unbinned
k99_72618	1780	60	47	maxbin_1	metabat_unbinned
k99_63722	1780	91	39	maxbin_2	metabat_unbinned
k99_57001	1780	82	36	maxbin_2	metabat_unbinned
k99_32936	1780	123	38	maxbin_2	metabat_unbinned
k99_1367	1780	136	42	maxbin_2	metabat_unbinned
k99_4443	1779	168	39	maxbin_2	metabat_unbinned
k99_23214	1779	215	39	maxbin_2	metabat_unbinned
k99_87445	1778	82	43	maxbin_2	metabat_unbinned
k99_60829	1778	33	39	maxbin_2	metabat_unbinned
k99_64949	1777	84	38	maxbin_2	metabat_unbinned
k99_41786	1777	56	36	maxbin_2	metabat_unbinned
k99_8645	1776	139	39	maxbin_2	metabat_unbinned
k99_85025	1776	89	41	maxbin_2	metabat_unbinned
k99_90414	1774	47	41	maxbin_2	metabat_unbinned
k99_61858	1774	145	39	maxbin_2	metabat_unbinned
k99_43505	1774	112	39	maxbin_2	metabat_unbinned
k99_45239	1773	154	35	maxbin_2	metabat_unbinned
k99_2937	1772	191	36	maxbin_2	metabat_unbinned
k99_50521	1770	164	39	maxbin_2	metabat_unbinned
k99_14069	1770	185	35	maxbin_2	metabat_unbinned
k99_88831	1769	995	38	maxbin_2	metabat_unbinned
k99_74441	1768	84	35	maxbin_2	metabat_unbinned
k99_34808	1768	105	37	maxbin_2	metabat_unbinned
k99_18254	1767	1374	53	maxbin_1	metabat_unbinned
k99_10050	1767	83	40	maxbin_2	metabat_unbinned
k99_59711	1766	93	34	maxbin_2	metabat_unbinned
k99_49824	1765	100	37	maxbin_2	metabat_unbinned
k99_12274	1765	227	43	maxbin_2	metabat_unbinned
k99_67998	1764	61	32	maxbin_2	metabat_unbinned
k99_10281	1764	352	47	maxbin_1	metabat_unbinned
k99_44558	1763	46	33	maxbin_2	metabat_unbinned
k99_41318	1763	61	51	maxbin_1	metabat_unbinned
k99_80140	1762	420	35	maxbin_2	metabat_unbinned
k99_35603	1760	78	39	maxbin_2	metabat_unbinned
k99_12888	1760	64	45	maxbin_2	metabat_unbinned
k99_99760	1759	52	38	maxbin_2	metabat_unbinned
k99_118850	1758	77	40	maxbin_2	metabat_unbinned
k99_11671	1757	59	43	maxbin_2	metabat_unbinned
k99_80444	1756	1450	49	maxbin_1	metabat_unbinned
k99_59224	1756	52	37	maxbin_2	metabat_unbinned
k99_26548	1756	101	39	maxbin_2	metabat_unbinned
k99_103613	1755	189	40	maxbin_2	metabat_unbinned
k99_76691	1754	216	34	maxbin_2	metabat_unbinned
k99_70147	1754	153	41	maxbin_2	metabat_unbinned
k99_53267	1754	1240	49	maxbin_1	metabat_unbinned
k99_49045	1754	251	37	maxbin_2	metabat_unbinned
k99_97912	1752	34	38	maxbin_2	metabat_unbinned
k99_36922	1752	42	38	maxbin_2	metabat_unbinned
k99_36433	1751	121	38	maxbin_2	metabat_unbinned
k99_16439	1751	38	35	maxbin_2	metabat_unbinned
k99_78736	1750	54	49	maxbin_1	metabat_unbinned
k99_75108	1750	182	41	maxbin_2	metabat_unbinned
k99_41349	1750	132	40	maxbin_2	metabat_unbinned
k99_38394	1750	47	32	maxbin_2	metabat_unbinned
k99_103536	1750	70	38	maxbin_2	metabat_unbinned
k99_59258	1749	60	38	maxbin_2	metabat_unbinned
k99_68251	1748	60	37	maxbin_2	metabat_unbinned
k99_10006	1748	213	37	maxbin_2	metabat_unbinned
k99_76157	1747	47	39	maxbin_2	metabat_unbinned
k99_92260	1746	116	38	maxbin_2	metabat_unbinned
k99_85419	1746	53	36	maxbin_2	metabat_unbinned
k99_78612	1746	84	43	maxbin_2	metabat_unbinned
k99_76845	1746	56	43	maxbin_2	metabat_unbinned
k99_36237	1746	112	34	maxbin_2	metabat_unbinned
k99_30877	1746	163	44	maxbin_2	metabat_unbinned
k99_124810	1746	113	40	maxbin_2	metabat_unbinned
k99_91319	1745	128	38	maxbin_2	metabat_unbinned
k99_65475	1745	78	34	maxbin_2	metabat_unbinned
k99_5138	1745	67	35	maxbin_2	metabat_unbinned
k99_13344	1744	45	37	maxbin_2	metabat_unbinned
k99_9125	1743	64	35	maxbin_2	metabat_unbinned
k99_34956	1743	164	38	maxbin_2	metabat_unbinned
k99_90003	1742	1712	43	maxbin_1	metabat_unbinned
k99_5163	1742	62	35	maxbin_2	metabat_unbinned
k99_29579	1742	103	41	maxbin_2	metabat_unbinned
k99_15666	1742	373	38	maxbin_2	metabat_unbinned
k99_78761	1741	214	38	maxbin_2	metabat_unbinned
k99_80155	1740	180	38	maxbin_2	metabat_unbinned
k99_77647	1739	93	41	maxbin_2	metabat_unbinned
k99_115327	1739	44	35	maxbin_2	metabat_unbinned
k99_89230	1738	162	36	maxbin_2	metabat_unbinned
k99_84400	1738	37	37	maxbin_2	metabat_unbinned
k99_33915	1738	223	37	maxbin_2	metabat_unbinned
k99_67038	1737	100	40	maxbin_2	metabat_unbinned
k99_58980	1736	59	40	maxbin_2	metabat_unbinned
k99_32562	1735	87	39	maxbin_2	metabat_unbinned
k99_29479	1735	89	36	maxbin_2	metabat_unbinned
k99_17876	1735	329	35	maxbin_2	metabat_unbinned
k99_80079	1734	77	41	maxbin_2	metabat_unbinned
k99_44215	1734	337	39	maxbin_2	metabat_unbinned
k99_2191	1734	1405	49	maxbin_1	metabat_unbinned
k99_63545	1733	79	38	maxbin_2	metabat_unbinned
k99_27887	1733	58	51	maxbin_1	metabat_unbinned
k99_13400	1733	188	42	maxbin_2	metabat_unbinned
k99_119901	1733	40	41	maxbin_2	metabat_unbinned
k99_91054	1732	58	44	maxbin_2	metabat_unbinned
k99_109717	1732	44	35	maxbin_2	metabat_unbinned
k99_92532	1731	284	40	maxbin_2	metabat_unbinned
k99_16195	1731	37	37	maxbin_2	metabat_unbinned
k99_37961	1730	109	43	maxbin_2	metabat_unbinned
k99_23031	1730	51	32	maxbin_2	metabat_unbinned
k99_118858	1730	117	34	maxbin_2	metabat_unbinned
k99_53308	1729	96	44	maxbin_2	metabat_unbinned
k99_11253	1729	65	34	maxbin_2	metabat_unbinned
k99_97534	1728	47	35	maxbin_2	metabat_unbinned
k99_32593	1728	100	35	maxbin_2	metabat_unbinned
k99_11093	1728	141	45	maxbin_2	metabat_unbinned
k99_69285	1727	90	45	maxbin_2	metabat_unbinned
k99_58606	1727	45	44	maxbin_2	metabat_unbinned
k99_72715	1726	161	35	maxbin_2	metabat_unbinned
k99_18096	1726	149	39	maxbin_2	metabat_unbinned
k99_6043	1725	50	42	maxbin_2	metabat_unbinned
k99_48263	1723	507	42	maxbin_2	metabat_unbinned
k99_3606	1723	198	39	maxbin_2	metabat_unbinned
k99_13749	1722	65	40	maxbin_2	metabat_unbinned
k99_63589	1721	32	41	maxbin_2	metabat_unbinned
k99_22702	1721	51	40	maxbin_2	metabat_unbinned
k99_94344	1720	47	38	maxbin_2	metabat_unbinned
k99_87698	1720	1812	39	maxbin_1	metabat_unbinned
k99_44645	1720	665	34	maxbin_2	metabat_unbinned
k99_18659	1720	64	40	maxbin_2	metabat_unbinned
k99_18657	1720	70	37	maxbin_2	metabat_unbinned
k99_99950	1719	30	35	maxbin_2	metabat_unbinned
k99_97584	1719	51	40	maxbin_2	metabat_unbinned
k99_90266	1719	68	37	maxbin_2	metabat_unbinned
k99_83069	1719	156	37	maxbin_2	metabat_unbinned
k99_70758	1719	75	36	maxbin_2	metabat_unbinned
k99_87725	1718	130	37	maxbin_2	metabat_unbinned
k99_10178	1717	50	38	maxbin_2	metabat_unbinned
k99_69111	1716	99	46	maxbin_1	metabat_unbinned
k99_10298	1716	40	44	maxbin_2	metabat_unbinned
k99_35525	1715	64	37	maxbin_2	metabat_unbinned
k99_127739	1715	40	40	maxbin_2	metabat_unbinned
k99_39453	1714	66	35	maxbin_2	metabat_unbinned
k99_81208	1712	60	35	maxbin_2	metabat_unbinned
k99_7156	1712	31	38	maxbin_2	metabat_unbinned
k99_44924	1711	56	43	maxbin_2	metabat_unbinned
k99_11673	1711	96	36	maxbin_2	metabat_unbinned
k99_98967	1710	41	37	maxbin_2	metabat_unbinned
